exec,format,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_acc.x,coo,500,1.831123,1,9,1.622728,0,144535248,1,af_shell3,1
cg_acc.x,csr,500,0.000077,1,9,1.757323,0.016587,110420860,1,af_shell3,0.923409072
cg_acc.x,ell,500,-98313694963,1,9,2.200021,0.132595,218097364,1,af_shell3,0.737596596
cg_acc.x,csb,500,0.737167,1,9,31.373879,6.642732,90529774,128,af_shell3,0.051722262
cg_acc.x,coo,500,13.460127,1,9,0.386291,0,32558672,1,cant,1
cg_acc.x,csr,500,-0.079639,1,9,0.550276,0.004062,24668812,1,cant,0.701994999
cg_acc.x,ell,500,#NAME?,1,9,0.384581,0.026046,30725896,1,cant,1.004446398
cg_acc.x,dia,500,-0.079639,1,9,0.34082,0.042466,37470604,1,cant,1.133416466
cg_acc.x,csb,500,-0.109511,1,9,1.491303,0.631013,20372142,128,cant,0.259029185
cg_acc.x,coo,500,-0.937282,1,9,0.526002,0,48750512,1,consph,1
cg_acc.x,csr,500,-0.030039,1,9,0.771894,0.00588,36896224,1,consph,0.681443307
cg_acc.x,ell,500,#NAME?,1,9,0.683143,0.050089,67000540,1,consph,0.76997349
cg_acc.x,csb,500,-0.037079,1,9,4.843078,1.292383,30536514,128,consph,0.108609029
cg_acc.x,coo,500,-1746.876888,1,9,0.845008,0,33603600,1,mc2depi,1
cg_acc.x,csr,500,#NAME?,1,9,0.773634,0.005032,27306004,1,mc2depi,1.092258096
cg_acc.x,ell,500,#NAME?,1,9,0.819808,0.025269,31549504,1,mc2depi,1.030738905
cg_acc.x,csb,500,4657.752187,1,9,5.237019,6.498952,21244702,128,mc2depi,0.161352861
cg_acc.x,coo,500,-49740.91536,1,9,0.148241,0,5845008,1,Pres_Poisson,1
cg_acc.x,csr,500,54.092362,1,9,0.171687,0.000878,4443048,1,Pres_Poisson,0.863437535
cg_acc.x,ell,500,#NAME?,1,9,0.171405,0.008156,9071068,1,Pres_Poisson,0.864858085
cg_acc.x,dia,500,54.092362,1,9,3.085031,0.859287,778688596,1,Pres_Poisson,0.048051705
cg_acc.x,csb,500,114.652327,1,9,0.571522,0.179589,3660346,128,Pres_Poisson,0.259379341
cg_acc.x,coo,500,-0.143476,1,9,0.986465,0,93938800,1,pwtk,1
cg_acc.x,csr,500,0.001703,1,9,1.256241,0.010267,71325776,1,pwtk,0.785251397
cg_acc.x,ell,500,-1.18463E+12,1,9,3.889369,0.221711,475932916,1,pwtk,0.253631116
cg_acc.x,csb,500,0.002269,1,9,17.983549,2.516882,58807538,128,pwtk,0.054853744
cg_acc.x,coo,500,1454.021002,1,9,0.381139,0,21793392,1,cop20k_A,1
cg_acc.x,csr,500,3.193944,1,9,0.425766,0.002668,16829816,1,cop20k_A,0.895184209
cg_acc.x,ell,500,#NAME?,1,9,0.499357,0.027138,36357604,1,cop20k_A,0.763259552
cg_acc.x,csb,500,-4.649958,1,9,0.874119,25.855691,14710402,128,cop20k_A,0.436026445
cg_acc.x,coo,500,4.235412,1,9,0.400399,0,37265472,1,rma10,1
cg_acc.x,csr,500,-2315.882646,1,9,0.689475,0.004854,28136448,1,rma10,0.580730266
cg_acc.x,ell,500,#NAME?,1,9,0.749086,0.051433,82054924,1,rma10,0.534516731
cg_acc.x,csb,500,8.478957,1,9,2.359322,0.751985,23327404,128,rma10,0.169709349
cg_acc.x,coo,500,-895.219928,1,9,0.371549,0,35049456,1,pdb1HYS,1
cg_acc.x,csr,500,-0.008397,1,9,0.632766,0.004232,26432764,1,pdb1HYS,0.587182308
cg_acc.x,ell,500,#NAME?,1,9,0.720962,0.051093,80845744,1,pdb1HYS,0.515351711
cg_acc.x,csb,500,-17.931856,1,9,1.697287,0.606241,21929854,128,pdb1HYS,0.218907586
cg_acc.x,coo,500,1672.373802,1,9,0.389977,0,15342976,1,scircuit,1
cg_acc.x,csr,500,-7005.98238,1,9,0.382596,0.002501,12191228,1,scircuit,0.971126201
cg_acc.x,ell,500,#NAME?,1,9,5.702872,0.333395,726399508,1,scircuit,0.065151208
cg_acc.x,csb,500,96321.00065,1,9,0.920899,11.720353,10091780,128,scircuit,0.403463355
cg_acc.x,coo,500,-0.000001,1,9,0.446416,0,29672400,1,shipsec1,1
cg_acc.x,csr,500,0,1,9,0.465481,0.004004,22817800,1,shipsec1,0.959042367
cg_acc.x,dsr,500,#NAME?,1,9,171.737998,0.003935,23381296,1,shipsec1,0.002599401
cg_acc.x,ell,500,0.153675,1,9,0.873157,0.053551,84524404,1,shipsec1,0.511266588
cg_acc.x,csb,500,0,1,9,4.130091,2.372275,18656458,128,shipsec1,0.10808866
cg_acc.x,coo,500,-15031.88387,1,9,1.462741,0,49688576,1,webbase-1M,1
cg_acc.x,csr,500,-1.78118E+11,1,9,1.511824,0.008309,41266456,1,webbase-1M,0.967533919