exec,format,niter,nprocs,nruns,exec-time,insp-time,size,bs,tensor,speedup
cp_par.x,splatt,7,1,5,1.452,0,54830880,1,nips,1
cp_par.x,coo,7,1,5,4.552544,0,62032180,1,nips,0.318942552
cp_par.x,csf,7,1,5,4.036039,0.050803,54830880,1,nips,0.359758664
cp_par.x,hicoo,7,1,5,4.542381,0.156334,24944876,256,nips,0.319656145
cp_par.x,splatt,7,1,5,268.802,,54830880,1,nell1,1
cp_par.x,coo,7,1,5,518.539206,,2297592832,1,nell1,0.518383175
cp_par.x,csf,7,1,5,514.33077,1.638027,54830880,1,nell1,0.522624769
cp_par.x,hicoo,7,1,5,,,,256,nell1,0.001
cp_par.x,splatt,10,1,5,29.952,0,,1,nell2,1
cp_par.x,coo,10,1,5,117.53543,0,1230070704,1,nell2,0.254833798
cp_par.x,csf,10,1,5,105.788927,0.654549,4235044644,1,nell2,0.283129821
cp_par.x,hicoo,10,1,5,104.80029,4.330658,541280161,256,nell2,0.285800736
cp_par.x,splatt,9,1,5,194.701,0,,1,deli3d,1
cp_par.x,coo,9,1,5,393.357612,0,2242018896,1,deli3d,0.49497199
cp_par.x,csf,9,1,5,386.36514,2.006279,494853208,1,deli3d,0.503930039
cp_par.x,hicoo,9,1,5,,,,256,deli3d,0.001
cp_par.x,splatt,26,1,5,31.846,,,1,enron,1
cp_par.x,coo,26,1,5,123.403005,0,1084041980,1,enron,0.258065028
cp_par.x,csf,26,1,5,113.307714,1.014318,1872492012,1,enron,0.281057652
cp_par.x,hicoo,26,1,5,118.475921,8.69619,445133836,256,enron,0.268797235
cp_par.x,splatt,8,1,5,3.845,0,,1,crime,1
cp_par.x,coo,8,1,5,16.011119,0,151848312,1,crime,0.240145614
cp_par.x,csf,8,1,5,14.681723,0.171119,1946601528,1,crime,0.261890243
cp_par.x,hicoo,8,1,5,17.690507,0.160146,56945521,256,crime,0.217348208
cp_par.x,splatt,5,1,5,227.497,0,,1,flickr3d,1
cp_par.x,coo,5,1,5,181.032864,0,1806244960,1,flickr3d,1.256661332
cp_par.x,csf,5,1,5,167.68608,1.340461,3820423784,1,flickr3d,1.35668387
cp_par.x,hicoo,5,1,5,,,,256,flickr3d,0.001
cp_par.x,splatt,50,1,5,3.936,0,,1,uber,1
cp_par.x,coo,50,1,5,32.735842,0,66189800,1,uber,0.120235184
cp_par.x,csf,50,1,5,27.515415,0.052897,28117548,1,uber,0.143047088
cp_par.x,hicoo,50,1,5,35.412806,0.072758,26476484,256,uber,0.111146233